augmented_tweet,label
"['If you get to know astir the statistics of road accident in ðŸ ‡ ® ðŸ ‡ ³ every moment, you will be scandalise, though people bonk being good for nothing, and irresponsible in delhi. Road safety assurance mustiness embody thereðŸ ¤ ž arrive what may. # Roadsafetyawareness']",1
"['@ RahulGandhi Why it is that anyone who has posed a direct Indirect challenge to EAAM either pass in Air Crash or Road Accident and none take in any inquiry to date Still, some believe that EAAM be for India and vote for Congress India need to know truth astir Sonia Mahatma gandhi Goal via DGP']",1
['when modi promised â € œminimum government level best governanceâ € \x9d bear him begin the difficult job reforming the state why do study years get justness state should and not business and should exit psus and temples'],1
['talk totally the trumpery and continue all the drama leave vote for modi'],1
['asking his supporters prefix chowkidar their names modi did great service now there mix up what read what non now crustal clear what bequeath crass filthy laughable escort how most abuses be coming from chowkidars'],1
['rahul doesnt crap false promises like modi has always deliver whatsoever has been promised you may contain his course record you can consider him'],1
"[""We may have many problems in but we also have solution for them & amp; # USA needs to sympathise that they prat ' t dictate their ideas upon u. If you believe in partnership for enceinte good you need to act like a pardner, not like a boss.""]",1
"[""@ vinodkapri @ RahulGandhi Respected Indian Citizens, NamaskaarðŸ ™ \x8f I be the original Gandhi. 1 let no branches or franchises. None of my relatives be in politics. Beware of simulated Gandhi ' s. Choose careðŸ ™ \x8f Mohandas Karamchand Mohandas karamchand gandhi.""]",1
"[""@ POTUS Under Biden politics American manufacturing diligence going inhouse raw cloth production not depend on imports only Us exports with quality a priority to globally. We indian govt inspire without depend unsanded materials from China ' s sub received materials. Alas politics ðŸ ˜ ¸""]",1
['Wherefore be pakistani / indian dual nationals allowed in UK political relation @ ukhomeoffice # WeWereNeverAsked White hoi polloi are only eighter from decatur% of the world population when perform we get minority right? Betrayed by our ain politicians. . Marxism 101: # kalergiplan # WeWereNeverAsked'],0
"['@ MrSinha_ As we should condemn that mentality severely, those feeling are fueled by Politics, No 1 there like several crores spent on Hindi pushing it as national spoken communication. Hindi is most recent of spoken language. We moldiness take over a modern or use Sanskrit catamenia']",1
"['Lokpal Hazare been brought to remove good governance of Congress. Other wise rho knows serviceman maflarwala left help & amp; sit on the route. World health organization pays him monthly salary, who runs his family. This be Indian politics. Samjho to jano, nhi to ullu ki tarah Har 5 saal me vote karte rho']",1
['Internal Politics is ruin Indian Cricket. . BCCI should remove this eccentric of Chooser. This is actually hurting u.s.a.. https: / / thyroxine. co / AQVkDm8iq9'],1
"[""i hate getting flashbacks from things one put on ' deoxythymidine monophosphate need to remember.""]",0
"['The close the election date, the to a greater extent offensive propagandas against Muslimism & Muslims increases in India. Ii movies advertize hindutva terror # TheKeralaStory offend the Muslim women of Kerala, the foremost city that Muslimism reached. # TheKashmirFiles another hate propaganda.']",0
"[""I ' ve understand then many racist, exist, transphobic, ableist insults on Twitter""]",0
"[""even tho they ' d be casually suggesting homosexuals are exit to hell and information technology ' s their Christian tariff to say them this and contradict laws that make it easier to be gay.""]",0
"[""Rahul Gandhi ne'er shout out Bihari as outsider.""]",0
"['Arrest treating Bangladeshis in Amerind hospital. We pay taxes to develop handling for our families, non for Bangladeshis who hate India.']",0
['Congress in their hate for opposing postmortem Modi have progress the hate for opposing â € ™ s strategic maturation around the public. Jairam cheers when something go against the businessman yet if it hurt carry amelia moore nation.'],0
['Information technology truly shows your ignorance in empathize the importance of these establishment and your ill motives to cave the successful development of educational opportunity for the.'],0
"[""There was an uproar in Ghaziabad after the rape of a 14 year old girl. The mob vandalized the accused scrap shop. The jinrikisha was determine on flame. The victim is a Hindustani and the accused is say to be a Muslim. In the first light, the victim ' s family had lodged an FIR naming him as an.""]",0
"['Tushar Singh @ tusharsinggh Â · Aug 20 Women are non safe even in painting, how to get rid of these rape and intimate harassment cases? What steps can be pick out for the rubber of women.']",0
['Aishwarya Rai Bachchan Sexy Skin Show In Harperâ € ™ s Bazaar Nov Offspring 2016.'],0
['a kick cant do shit for me merely die'],0
['some gay guy called me a tightfitting anorectic bitch today'],0
